dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
dynamic_er_gauss_15,15,2000,5,7.454277038574219,0.0009545377259084018,0.1111111111111111,1.0,0.0014992503748125937,1,9,0.8888888888888888,0.9411764705882353,0.875
dynamic_er_gauss_15,15,2000,5,4.722843170166016,0.0001054276840377037,0.0,1.0,0.0,0,8,1.0,1.0,1.0
