dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_10,10,20,1,0.3003842830657959,0.0,0.7142857142857143,1.0,0.016778523489932886,5,7,0.2857142857142857,0.4444444444444445,0.0
static_er_gauss_10,10,20,2,106.92788004875183,0.0008244757590840933,0.8461538461538461,1.0,0.03691275167785235,11,13,0.15384615384615385,0.2666666666666667,0.0
,,,,,,0.6666666666666666,1.0,0.013422818791946308,4,6,0.3333333333333333,0.5,0.0
static_er_gauss_10,10,20,1,0.31685304641723633,1.3733242055368781e-06,0.6666666666666666,1.0,0.013422818791946308,4,6,0.3333333333333333,0.5,0.0
