dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_5,5,20,1,0.09235835075378418,0.0,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,2,0.09174394607543945,1.5292101038191107e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,3,0.07617926597595215,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,4,0.06816291809082031,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,5,0.1519160270690918,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,6,0.19785594940185547,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,7,0.07655191421508789,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,8,0.07509112358093262,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,9,0.13640403747558594,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,10,0.10402917861938477,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,11,0.21561908721923828,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,12,0.1890256404876709,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,13,0.18379688262939453,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,14,0.3171250820159912,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,15,0.2331690788269043,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,16,0.3373990058898926,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,17,0.24746489524841309,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,18,0.2425980567932129,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,19,0.1832880973815918,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,20,0.29023098945617676,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,21,0.17849493026733398,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,22,0.21588134765625,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,23,0.21724891662597656,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,24,0.21705389022827148,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,25,0.19014620780944824,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,26,0.15859198570251465,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,27,0.20735502243041992,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,28,0.14679813385009766,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,29,0.11561298370361328,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,30,0.24947810173034668,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,31,0.11011815071105957,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,32,0.20006561279296875,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,33,0.1862788200378418,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,34,0.20653605461120605,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
static_er_gauss_5,5,20,35,0.15569686889648438,1.5292101058862403e-07,0.3333333333333333,1.0,0.0136986301369863,1,3,0.6666666666666666,0.8,0.5
,,,,,,0.5,0.5,0.0136986301369863,2,2,0.5,0.5,0.0
static_er_gauss_5,5,20,1,0.032032012939453125,0.0008216529369001772,0.5,0.5,0.0136986301369863,2,2,0.5,0.5,0.0
