dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_10,10,100,1,0.342670202255249,0.0006522159277380032,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,2,0.33815813064575195,0.0004198795165941921,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,3,0.4738647937774658,0.0004800913625044106,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,4,0.4924318790435791,0.0006628821440967586,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,5,0.411884069442749,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,6,0.571807861328125,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,7,0.7845640182495117,0.0005287676748630651,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,8,0.7316098213195801,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,9,0.5377731323242188,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,10,0.46587705612182617,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,11,0.43279099464416504,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,12,0.6045928001403809,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,13,0.47469615936279297,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,14,0.5402839183807373,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,15,0.46059083938598633,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,16,0.5871670246124268,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,17,0.7089893817901611,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,18,0.6179029941558838,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,19,0.8868179321289062,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,20,0.7043619155883789,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,21,0.6562349796295166,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,22,0.9538698196411133,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,23,1.0324110984802246,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,24,0.8167569637298584,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,25,0.933089017868042,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,26,0.74839186668396,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,27,0.8650522232055664,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,28,0.8607490062713623,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,29,0.9359719753265381,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,30,0.6494760513305664,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,31,0.7085189819335938,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,32,0.6999249458312988,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,33,0.9045867919921875,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,34,0.7413620948791504,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
static_er_gauss_10,10,100,35,0.7405998706817627,0.0006987061264396664,1.0,0.0,0.01,3,3,0.0,0.0,0.0
