dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_15,15,50,1,5.042683124542236,9.885845665020008e-05,1.0,0.0,0.014814814814814815,10,10,0.0,0.0,0.0
static_er_gauss_15,15,50,2,104.46191573143005,0.000989831439556578,1.0,0.0,0.02666666666666667,18,18,0.0,0.0,0.0
static_er_gauss_15,15,50,3,6111.091129779816,0.0009998659546855116,1.0,0.0,0.02666666666666667,18,18,0.0,0.0,0.0
static_er_gauss_15,15,50,4,13401.62460899353,0.0009999495791857603,1.0,0.0,0.028148148148148148,19,19,0.0,0.0,0.0
static_er_gauss_15,15,50,5,9386.363775968552,0.000999986209056421,1.0,0.0,0.028148148148148148,19,19,0.0,0.0,0.0
