dataset,features,degree,runtime_seconds,gap,lazy_count,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_10,10,1,3.0822880268096924,0.0005237619561545279,4,0.3333333333333333,0.6666666666666666,0.003367003367003367,0.5,3,0.6666666666666666,0.6666666666666666,0.3333333333333333
static_er_gauss_10,10,2,3.80951189994812,0.0007181235676798121,2,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,3,3.042698860168457,1.0718572557385331e-07,2,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,4,3.109018325805664,8.133221605671345e-08,16,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,5,3.1218578815460205,7.859492746032501e-08,25,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,6,4.190378904342651,0.00055996628418717,21,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,7,3.3889288902282715,7.450451279269112e-08,48,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,8,3.6806440353393555,4.8447456083306766e-08,2,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,9,3.097891092300415,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,10,3.4584388732910156,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,11,2.740591287612915,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,12,3.3465418815612793,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,13,3.3982322216033936,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,14,2.897719144821167,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,15,3.7102720737457275,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,16,3.4129271507263184,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,17,3.4258439540863037,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,18,3.2505180835723877,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,19,3.487474203109741,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,20,3.4161438941955566,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,21,3.249492883682251,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,22,3.7116951942443848,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,23,3.344491958618164,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,24,3.4239091873168945,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,25,3.810534954071045,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,26,4.280466079711914,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,27,4.008869886398315,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,28,3.3929479122161865,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,29,3.7320308685302734,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,30,3.2717459201812744,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,31,3.314457893371582,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,32,3.2414748668670654,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,33,3.177946090698242,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,34,2.7534098625183105,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
static_er_gauss_10,10,35,3.5098392963409424,2.0866851966951067e-08,6,0.0,1.0,0.0,0,3,1.0,1.0,1.0
