dataset,features,degree,runtime_seconds,gap,lazy_count,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_20,20,1,778.0492067337036,0.0009898517415467562,0,0.42857142857142855,0.6666666666666666,0.002512562814070352,2.0,7,0.5714285714285714,0.6153846153846153,0.16666666666666666
static_er_gauss_20,20,2,26391.09266424179,0.04144711427349031,0,0.14285714285714285,1.0,0.0008375209380234506,1,7,0.8571428571428571,0.923076923076923,0.8333333333333334
static_er_gauss_20,20,3,19839.176109075546,0.05725299119623664,0,0.14285714285714285,1.0,0.0008375209380234506,1,7,0.8571428571428571,0.923076923076923,0.8333333333333334
static_er_gauss_20,20,4,18557.983117818832,0.05839491779002524,63,0.14285714285714285,1.0,0.0008375209380234506,1,7,0.8571428571428571,0.923076923076923,0.8333333333333334
static_er_gauss_20,20,5,18035.064566135406,0.05325752756813606,0,0.14285714285714285,1.0,0.0008375209380234506,1,7,0.8571428571428571,0.923076923076923,0.8333333333333334
