dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_20,20,2000,1,39.09389901161194,0.0005556748800571864,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_20,20,2000,2,42.70349311828613,0.0009696744073837372,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_20,20,2000,3,39.54034161567688,0.0009549547199900627,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_20,20,2000,4,40.3902382850647,0.0009553641101275527,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_20,20,2000,5,44.75507402420044,0.0009685046155527517,0.0,1.0,0.0,0,2,1.0,1.0,1.0
