dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_5,5,2000,1,0.7182619571685791,0.0002339747106437256,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,2,0.4202690124511719,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,3,0.5313389301300049,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,4,1.4750771522521973,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,5,1.1310698986053467,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,6,0.9950478076934814,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,7,1.3621587753295898,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,8,1.4135169982910156,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,9,1.2019662857055664,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,10,0.8419930934906006,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,11,1.4290850162506104,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,12,0.7773349285125732,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,13,1.3218839168548584,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,14,1.204437017440796,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,15,1.0979499816894531,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,16,1.2135038375854492,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,17,1.3714909553527832,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,18,1.3652119636535645,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,19,1.3749797344207764,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,20,1.0926921367645264,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,21,1.1119191646575928,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,22,1.403869867324829,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,23,1.4078679084777832,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,24,1.4792006015777588,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,25,1.661668062210083,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,26,1.4928638935089111,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,27,0.9878699779510498,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,28,1.455847978591919,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,29,1.2169749736785889,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,30,0.9552819728851318,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,31,1.1804420948028564,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,32,1.6446192264556885,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,33,1.0613389015197754,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,34,1.4391961097717285,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,2000,35,1.135624885559082,0.0002905436870618422,0.0,1.0,0.0,0,2,1.0,1.0,1.0
