dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_10,10,2000,1,2.6896188259124756,3.406856418287218e-05,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,2,3.107318878173828,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,3,3.2409961223602295,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,4,3.9320170879364014,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,5,5.140305042266846,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,6,4.420792102813721,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,7,5.97102427482605,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,8,5.516226053237915,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,9,5.501888036727905,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,10,5.213882923126221,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,11,5.075236797332764,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,12,6.244218826293945,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,13,6.042968034744263,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,14,6.774433851242065,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,15,7.137044906616211,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,16,6.987316131591797,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,17,6.246040105819702,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,18,7.46949577331543,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,19,6.910701036453247,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,20,6.973875045776367,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,21,6.157243967056274,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,22,5.766302108764648,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,23,6.386351108551025,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,24,6.29081392288208,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,25,6.727013111114502,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,26,5.8100502490997314,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,27,5.278712272644043,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,28,5.498907089233398,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,29,5.2146971225738525,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,30,5.886650085449219,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,31,4.7784881591796875,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,32,4.99397611618042,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,33,6.66016697883606,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,34,6.713817834854126,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_10,10,2000,35,6.598367929458618,0.0009865279909137994,0.0,1.0,0.0,0,2,1.0,1.0,1.0
