dataset,features,samples,degree,runtime_seconds,gap,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_5,5,200,1,0.105377197265625,5.919293905456767e-06,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,2,0.09105491638183594,7.927997904212756e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,3,0.09920001029968262,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,4,0.09694409370422363,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,5,0.2555110454559326,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,6,0.07045602798461914,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,7,0.08829689025878906,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,8,0.18343210220336914,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,9,0.18125486373901367,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,10,0.26490306854248047,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,11,0.14160490036010742,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,12,0.41982507705688477,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,13,0.12440085411071777,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,14,0.29201316833496094,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,15,0.22077608108520508,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,16,0.20878195762634277,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,17,0.15123414993286133,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,18,0.22917413711547852,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,19,0.2080841064453125,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,20,0.17392897605895996,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,21,0.29195165634155273,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,22,0.33746790885925293,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,23,0.22385907173156738,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,24,0.18516111373901367,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,25,0.11848998069763184,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,26,0.19571828842163086,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,27,0.10813093185424805,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,28,0.1549999713897705,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,29,0.17167305946350098,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,30,0.15381908416748047,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,31,0.18205499649047852,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,32,0.1885380744934082,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,33,0.1653580665588379,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,34,0.21962380409240723,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
static_er_gauss_5,5,200,35,0.17090511322021484,6.153773741009967e-07,0.0,1.0,0.0,0,2,1.0,1.0,1.0
